0  1.0000000000E+00  1.0825148301E-05  0.0000000000E+00 1
1  9.9957310465E-01  1.0820527096E-05
2  9.9992776246E-01  1.0824366319E-05
3  1.0002096256E+00  1.0827417530E-05
4  1.0004274377E+00  1.0829775377E-05
5  1.0000722514E+00  1.0825930434E-05
6  9.9979066865E-01  1.0822882259E-05
7  9.9950095367E-01  1.0819746051E-05
8  1.0001373258E+00  1.0826634874E-05
9  9.9978233714E-01  1.0822792069E-05
10  1.0004997757E+00  1.0830558447E-05
11  9.9986285785E-01  1.0823663717E-05
12  1.0002177132E+00  1.0827505079E-05
13  1.0003551136E+00  1.0828992458E-05
14  1.0002819393E+00  1.0828200336E-05
15  1.0006374564E+00  1.0832048861E-05
16  9.9964526953E-01  1.0821308291E-05
17  9.9971849336E-01  1.0822100950E-05
18  9.9936416641E-01  1.0818265308E-05
0  1.0000000000E+00  2.9636109309E+29  0.0000000000E+00 1
1  1.0000734305E+00  2.9638285502E+29
2  1.0000868001E+00  2.9638681726E+29
3  1.0010850555E+00  2.9668266133E+29
4  9.9992719194E-01  2.9633951561E+29
5  9.9991322825E-01  2.9633537732E+29
6  9.9891638045E-01  2.9603995041E+29
7  1.0001603538E+00  2.9640861572E+29
8  1.0011717631E+00  2.9670835808E+29
9  1.0011578162E+00  2.9670422477E+29
10  9.9984054341E-01  2.9631383636E+29
11  9.9882951615E-01  2.9601420722E+29
12  9.9884290261E-01  2.9601817444E+29
13  1.0000138688E+00  2.9636520327E+29
14  1.0009983763E+00  2.9665697299E+29
15  1.0010129173E+00  2.9666128235E+29
16  9.9998653551E-01  2.9635710274E+29
17  9.9900327311E-01  2.9606570202E+29
18  9.9899048071E-01  2.9606191085E+29
0  1.0000000000E+00  1.2976812779E+03  0.0000000000E+00 1
1  1.0001737570E+00  1.2979067592E+03
2  1.0000349368E+00  1.2977266147E+03
3  9.9986701547E-01  1.2975087064E+03
4  9.9982626286E-01  1.2974558225E+03
5  9.9996506407E-01  1.2976359422E+03
6  1.0001329964E+00  1.2978538648E+03
7  1.0002086978E+00  1.2979521012E+03
8  9.9990194919E-01  1.2975540392E+03
9  1.0000407574E+00  1.2977341680E+03
10  9.9979133099E-01  1.2974104921E+03
11  1.0000980574E+00  1.2978085252E+03
12  9.9995924411E-01  1.2976283898E+03
13  9.9986119557E-01  1.2975011540E+03
14  9.9983208259E-01  1.2974633747E+03
15  9.9969329344E-01  1.2972832706E+03
16  1.0001388170E+00  1.2978614182E+03
17  1.0001679362E+00  1.2978992056E+03
18  1.0003067685E+00  1.2980793656E+03
0  1.0000000000E+00  4.9503938723E+06  0.0000000000E+00 1
1  1.0000664420E+00  4.9507227863E+06
2  1.0000307391E+00  4.9505460430E+06
3  9.9988045790E-01  4.9498020918E+06
4  9.9993412772E-01  4.9500677785E+06
5  9.9996929173E-01  4.9502418542E+06
6  1.0001201016E+00  4.9509884227E+06
7  1.0000973114E+00  4.9508756018E+06
8  9.9991106567E-01  4.9499536123E+06
9  9.9994634635E-01  4.9501282656E+06
10  9.9990354969E-01  4.9499164052E+06
11  1.0000892620E+00  4.9508357543E+06
12  1.0000536758E+00  4.9506595887E+06
13  9.9996473660E-01  4.9502193045E+06
14  9.9984988099E-01  4.9496507241E+06
15  9.9981513916E-01  4.9494787383E+06
16  1.0000356035E+00  4.9505701234E+06
17  1.0001509721E+00  4.9511412437E+06
18  1.0001870972E+00  4.9513200769E+06
0  1.0000000000E+00  1.2489343384E+00  0.0000000000E+00 1
1  9.9798775458E-01  1.2464211760E+00
2  9.9948595003E-01  1.2482923238E+00
3  1.0023748145E+00  1.2519003258E+00
4  1.0020146226E+00  1.2514504698E+00
5  1.0005141940E+00  1.2495765330E+00
6  9.9762823115E-01  1.2459721549E+00
